Time (s),Voltage (V),Current (A),Temp (C)
820.34,9.91,0.73,25.0
821.43,9.85,0.71,25.0
822.51,9.92,0.73,25.0
823.59,9.95,0.75,25.0
824.67,9.90,0.73,25.0
825.76,9.93,0.74,25.0
826.84,9.93,0.73,25.0
827.92,9.93,0.72,25.0
829.00,9.92,0.76,25.0
830.09,9.90,0.74,25.0
831.16,9.88,0.74,25.0
832.25,9.91,0.75,25.0
833.33,9.90,0.72,25.0
834.41,9.91,0.75,25.0
835.49,9.91,0.73,25.0
836.58,9.92,0.71,25.0
837.66,9.91,0.71,25.0
838.74,9.92,0.73,25.0
839.82,9.92,0.77,25.0
840.91,9.91,0.76,25.0
841.99,9.89,0.73,25.0
843.07,9.95,0.76,25.0
844.15,9.91,0.70,25.0
845.24,9.86,0.71,25.0
846.32,9.91,0.72,25.0
847.40,9.89,0.71,25.0
848.48,9.89,0.75,25.0
849.57,9.85,0.74,25.0
850.65,9.88,0.72,25.0
851.73,9.90,0.73,25.0
852.81,9.94,0.74,25.0
853.90,9.90,0.73,25.0
854.98,9.88,0.73,25.0
856.06,9.89,0.75,25.0
857.14,9.93,0.75,25.0
858.22,9.88,0.75,25.0
859.30,9.91,0.75,25.0
860.39,9.90,0.74,25.0
861.47,9.87,0.73,25.0
862.55,9.86,0.71,25.0
863.63,9.95,0.75,25.0
864.72,9.90,0.73,25.0
865.80,9.89,0.74,25.0
866.88,9.90,0.75,25.0
867.96,9.91,0.74,25.0
869.05,9.87,0.72,25.0
870.13,9.90,0.72,25.0
871.21,9.92,0.73,25.0
872.29,9.86,0.72,25.0
873.37,9.87,0.73,25.0
874.46,9.89,0.74,25.0
875.54,9.90,0.73,25.0
876.62,9.88,0.73,25.0
877.70,9.88,0.73,25.0
878.78,9.90,0.73,25.0
879.87,9.92,0.75,25.0
880.95,9.90,0.75,25.0
882.03,9.88,0.76,25.0
883.11,9.86,0.73,25.0
884.20,9.88,0.73,25.0
885.28,9.86,0.75,25.0
886.36,9.88,0.75,25.0
887.44,9.86,0.75,25.0
888.53,9.86,0.74,25.0
889.61,9.87,0.73,25.0
890.69,9.88,0.71,25.0
891.77,9.88,0.72,25.0
892.85,9.89,0.73,25.0
893.94,9.88,0.73,25.0
895.02,9.90,0.74,25.0
896.10,9.88,0.75,25.0
897.18,9.89,0.74,25.0
898.27,9.91,0.72,25.0
899.35,9.92,0.75,25.0
900.43,9.90,0.75,25.0
901.51,9.90,0.74,25.0
902.59,9.89,0.73,25.0
903.68,9.87,0.74,25.0
904.76,9.85,0.73,25.0
905.84,9.86,0.74,25.0
906.92,9.86,0.72,25.0
908.01,9.90,0.73,25.0
909.09,9.86,0.75,25.0
910.17,9.89,0.74,25.0
911.25,9.88,0.75,25.0
912.34,9.86,0.74,25.0
913.42,9.88,0.72,25.0
914.50,9.87,0.72,25.0
915.58,9.85,0.72,25.0
916.66,9.86,0.73,25.0
917.74,9.86,0.74,25.0
918.83,9.87,0.74,25.0
919.91,9.84,0.71,25.0
920.99,9.84,0.72,25.0
922.07,9.85,0.76,25.0
923.16,9.88,0.74,25.0
924.23,9.87,0.73,25.0
925.32,9.87,0.73,25.0
926.40,9.87,0.76,25.0
927.48,9.88,0.74,25.0
928.57,9.89,0.72,25.0
929.65,9.88,0.74,25.0
930.73,9.86,0.75,25.0
931.81,9.88,0.76,25.0
932.89,9.86,0.75,25.0
933.98,9.86,0.74,25.0
935.06,9.83,0.73,25.0
936.14,9.87,0.73,25.0
937.22,9.90,0.74,25.0
938.31,9.87,0.73,25.0
939.39,9.87,0.76,25.0
940.47,9.91,0.75,25.0
941.55,9.87,0.76,25.0
942.63,9.84,0.74,25.0
943.71,9.84,0.74,25.0
944.80,9.87,0.74,25.0
945.88,9.84,0.73,25.0
946.96,9.86,0.75,25.0
948.04,9.85,0.73,25.0
949.13,9.85,0.74,25.0
950.21,9.86,0.73,25.0
951.29,9.85,0.71,25.0
952.37,9.87,0.74,25.0
953.46,9.87,0.72,25.0
954.54,9.83,0.74,25.0
955.62,9.83,0.76,25.0
956.70,9.87,0.72,25.0
957.78,9.87,0.74,25.0
958.86,9.88,0.72,25.0
959.95,9.88,0.74,25.0
961.03,9.87,0.74,25.0
962.11,9.85,0.74,25.0
963.20,9.85,0.75,25.0
964.28,9.83,0.73,25.0
965.36,9.85,0.73,25.0
966.44,9.85,0.73,25.0
967.52,9.85,0.76,25.0
968.61,9.85,0.75,25.0
969.69,9.91,0.74,25.0
970.77,9.84,0.72,25.0
971.85,9.81,0.75,25.0
972.94,9.83,0.73,25.0
974.02,9.84,0.71,25.0
975.10,9.85,0.72,25.0
976.18,9.87,0.71,25.0
977.27,9.86,0.73,25.0
978.34,9.84,0.73,25.0
979.43,9.84,0.72,25.0
980.51,9.86,0.73,25.0
981.59,9.87,0.72,25.0
982.67,9.86,0.74,25.0
983.76,9.85,0.74,25.0
984.84,9.85,0.75,25.0
985.92,9.84,0.72,25.0
987.00,9.85,0.73,25.0
988.09,9.88,0.73,25.0
989.17,9.85,0.73,25.0
990.25,9.86,0.73,25.0
991.33,9.82,0.74,25.0
992.42,9.86,0.74,25.0
993.50,9.83,0.73,25.0
994.58,9.83,0.74,25.0
995.66,9.84,0.74,25.0
996.75,9.86,0.73,25.0
997.83,9.85,0.73,25.0
998.91,9.85,0.74,25.0
999.99,9.86,0.73,25.0
1001.07,9.86,0.76,25.0
1002.16,9.84,0.75,25.0
1003.24,9.85,0.76,25.0
1004.32,9.86,0.74,25.0
1005.40,9.90,0.73,25.0
1006.48,9.86,0.73,25.0
1007.57,9.86,0.74,25.0
1008.65,9.83,0.74,25.0
1009.73,9.81,0.73,25.0
1010.81,9.85,0.72,25.0
1011.90,9.83,0.74,25.0
1012.98,9.87,0.75,25.0
1014.06,9.85,0.76,25.0
1015.14,9.81,0.76,25.0
1016.23,9.85,0.75,25.0
1017.31,9.83,0.73,25.0
1018.39,9.84,0.73,25.0
1019.47,9.86,0.73,25.0
1020.56,9.83,0.72,25.0
1021.64,9.83,0.74,25.0
1022.72,9.84,0.72,25.0
1023.80,9.84,0.73,25.0
1024.88,9.86,0.74,25.0
1025.97,9.84,0.71,25.0
1027.05,9.84,0.72,25.0
1028.13,9.86,0.74,25.0
1029.21,9.84,0.72,25.0
1030.29,9.86,0.76,25.0
1031.38,9.84,0.74,25.0
1032.46,9.84,0.74,25.0
1033.54,9.85,0.73,25.0
1034.62,9.83,0.71,25.0
1035.71,9.87,0.70,25.0
1036.79,9.85,0.73,25.0
1037.87,9.82,0.74,25.0
1038.95,9.86,0.73,25.0
1040.04,9.84,0.70,25.0
1041.12,9.83,0.73,25.0
1042.20,9.86,0.73,25.0
1043.28,9.82,0.71,25.0
1044.36,9.83,0.71,25.0
1045.44,9.84,0.72,25.0
1046.53,9.81,0.71,25.0
1047.61,9.84,0.72,25.0
1048.69,9.83,0.73,25.0
1049.78,9.83,0.73,25.0
1050.86,9.84,0.74,25.0
1051.94,9.82,0.73,25.0
1053.02,9.84,0.74,25.0
1054.10,9.85,0.73,25.0
1055.19,9.83,0.75,25.0
1056.27,9.85,0.74,25.0
1057.35,9.83,0.75,25.0
1058.43,9.84,0.71,25.0
1059.52,9.83,0.73,25.0
1060.59,9.83,0.74,25.0
1061.68,9.84,0.74,25.0
1062.76,9.83,0.74,25.0
1063.84,9.84,0.74,25.0
1064.93,9.81,0.74,25.0
1066.01,9.81,0.74,25.0
1067.09,9.81,0.73,25.0
1068.17,9.83,0.73,25.0
1069.25,9.85,0.74,25.0
1070.34,9.86,0.73,25.0
1071.42,9.81,0.73,25.0
1072.50,9.82,0.72,25.0
1073.58,9.84,0.73,25.0
1074.67,9.82,0.72,25.0
1075.75,9.83,0.72,25.0
1076.83,9.80,0.73,25.0
1077.91,9.85,0.73,25.0
1079.00,9.77,0.75,25.0
1080.08,9.83,0.73,25.0
1081.16,9.82,0.74,25.0
1082.24,9.85,0.75,25.0
1083.32,9.83,0.76,25.0
1084.41,9.82,0.71,25.0
1085.49,9.80,0.72,25.0
1086.57,9.80,0.72,25.0
1087.65,9.79,0.73,25.0
1088.73,9.85,0.73,25.0
1089.82,9.78,0.72,25.0
1090.90,9.85,0.76,25.0
1091.98,9.84,0.74,25.0
1093.06,9.84,0.73,25.0
1094.15,9.80,0.73,25.0
1095.23,9.82,0.76,25.0
1096.31,9.81,0.74,25.0
1097.39,9.85,0.73,25.0
1098.47,9.81,0.73,25.0
1099.56,9.81,0.72,25.0
1100.64,9.82,0.71,25.0
1101.72,9.81,0.73,25.0
1102.80,9.80,0.73,25.0
1103.89,9.86,0.74,25.0
1104.97,9.80,0.73,25.0
1106.05,9.81,0.74,25.0
1107.13,9.84,0.73,25.0
1108.21,9.84,0.72,25.0
1109.30,9.82,0.71,25.0
1110.38,9.82,0.73,25.0
1111.46,9.83,0.74,25.0
1112.54,9.82,0.72,25.0
1113.63,9.84,0.73,25.0
1114.71,9.86,0.73,25.0
1115.79,9.78,0.73,25.0
1116.87,9.79,0.73,25.0
1117.96,9.81,0.72,25.0
1119.04,9.80,0.74,25.0
1120.12,9.79,0.73,25.0
1121.20,9.81,0.73,25.0
1122.29,9.81,0.73,25.0
1123.36,9.84,0.73,25.0
1124.45,9.81,0.73,25.0
1125.53,9.80,0.73,25.0
1126.61,9.81,0.74,25.0
1127.69,9.80,0.74,25.0
1128.78,9.77,0.72,25.0
1129.86,9.85,0.73,25.0
1130.94,9.82,0.76,25.0
1132.02,9.81,0.72,25.0
1133.11,9.84,0.74,25.0
1134.19,9.81,0.74,25.0
1135.27,9.81,0.72,25.0
1136.35,9.81,0.74,25.0
1137.44,9.79,0.73,25.0
1138.52,9.82,0.73,25.0
1139.60,9.81,0.77,25.0
1140.68,9.83,0.74,25.0
1141.77,9.79,0.75,25.0
1142.84,9.81,0.77,25.0
1143.93,9.79,0.75,25.0
1145.01,9.81,0.72,25.0
1146.09,9.80,0.71,25.0
1147.18,9.81,0.73,25.0
1148.26,9.82,0.73,25.0
1149.34,9.82,0.74,25.0
1150.42,9.79,0.74,25.0
1151.50,9.79,0.73,25.0
1152.59,9.79,0.73,25.0
1153.67,9.79,0.74,25.0
1154.75,9.79,0.73,25.0
1155.83,9.80,0.73,25.0
1156.92,9.78,0.74,25.0
1158.00,9.77,0.73,25.0
1159.08,9.79,0.78,25.0
1160.16,9.79,0.75,25.0
1161.25,9.77,0.73,25.0
1162.33,9.77,0.73,25.0
1163.41,9.78,0.74,25.0
1164.49,9.81,0.76,25.0
1165.57,9.81,0.78,25.0
1166.66,9.77,0.76,25.0
1167.74,9.78,0.74,25.0
1168.82,9.80,0.72,25.0
1169.90,9.83,0.74,25.0
1170.98,9.81,0.75,25.0
1172.07,9.79,0.73,25.0
1173.15,9.78,0.75,25.0
1174.23,9.77,0.74,25.0
1175.31,9.78,0.74,25.0
1176.40,9.78,0.73,25.0
1177.48,9.79,0.74,25.0
1178.56,9.79,0.75,25.0
1179.64,9.80,0.73,25.0
1180.73,9.81,0.74,25.0
1181.81,9.82,0.75,25.0
1182.89,9.79,0.76,25.0
1183.97,9.78,0.75,25.0
1185.06,9.80,0.74,25.0
1186.14,9.78,0.75,25.0
1187.22,9.77,0.74,25.0
1188.30,9.77,0.76,25.0
1189.39,9.77,0.74,25.0
1190.46,9.81,0.76,25.0
1191.55,9.79,0.75,25.0
1192.63,9.79,0.75,25.0
1193.71,9.78,0.76,25.0
1194.80,9.75,0.73,25.0
1195.88,9.80,0.75,25.0
1196.96,9.78,0.76,25.0
1198.04,9.77,0.74,25.0
1199.12,9.77,0.73,25.0
1200.21,9.77,0.74,25.0
1201.29,9.78,0.71,25.0
1202.37,9.78,0.73,25.0
1203.45,9.79,0.76,25.0
1204.54,9.77,0.74,25.0
1205.62,9.76,0.75,25.0
1206.70,9.82,0.74,25.0
1207.78,9.79,0.75,25.0
1208.87,9.78,0.73,25.0
1209.95,9.79,0.72,25.0
1211.03,9.78,0.72,25.0
1212.11,9.78,0.75,25.0
1213.19,9.75,0.73,25.0
1214.28,9.79,0.73,25.0
1215.36,9.78,0.73,25.0
1216.44,9.77,0.73,25.0
1217.52,9.77,0.74,25.0
1218.60,9.78,0.75,25.0
1219.69,9.78,0.76,25.0
1220.77,9.75,0.74,25.0
1221.85,9.79,0.74,25.0
1222.93,9.79,0.74,25.0
1224.02,9.75,0.71,25.0
1225.10,9.78,0.71,25.0
1226.18,9.74,0.73,25.0
1227.26,9.78,0.74,25.0
1228.35,9.77,0.74,25.0
1229.43,9.77,0.72,25.0
1230.51,9.76,0.71,25.0
1231.59,9.78,0.72,25.0
1232.68,9.78,0.75,25.0
1233.76,9.77,0.75,25.0
1234.84,9.77,0.72,25.0
1235.92,9.77,0.72,25.0
1237.01,9.76,0.73,25.0
1238.08,9.76,0.73,25.0
1239.17,9.78,0.73,25.0
1240.25,9.78,0.72,25.0
1241.33,9.79,0.71,25.0
1242.42,9.78,0.74,25.0
1243.50,9.77,0.72,25.0
1244.58,9.76,0.75,25.0
1245.66,9.77,0.77,25.0
1246.74,9.78,0.72,25.0
1247.83,9.78,0.73,25.0
1248.91,9.79,0.77,25.0
1249.99,9.78,0.76,25.0
1251.07,9.76,0.74,25.0
1252.16,9.78,0.76,25.0
1253.24,9.77,0.74,25.0
1254.32,9.76,0.73,25.0
1255.40,9.76,0.73,25.0
1256.48,9.77,0.74,25.0
1257.57,9.77,0.72,25.0
1258.65,9.76,0.72,25.0
1259.73,9.77,0.72,25.0
1260.81,9.79,0.74,25.0
1261.90,9.79,0.75,25.0
1262.98,9.80,0.74,25.0
1264.06,9.75,0.75,25.0
1265.14,9.76,0.72,25.0
1266.22,9.75,0.74,25.0
1267.31,9.75,0.75,25.0
1268.39,9.75,0.74,25.0
1269.47,9.77,0.71,25.0
1270.55,9.77,0.73,25.0
1271.64,9.78,0.72,25.0
1272.72,9.78,0.74,25.0
1273.80,9.77,0.74,25.0
1274.88,9.77,0.74,25.0
1275.97,9.77,0.73,25.0
1277.05,9.76,0.74,25.0
1278.13,9.75,0.73,25.0
1279.21,9.75,0.74,25.0
1280.30,9.77,0.72,25.0
1281.38,9.76,0.74,25.0
1282.46,9.76,0.74,25.0
1283.54,9.75,0.73,25.0
1284.63,9.75,0.72,25.0
1285.70,9.75,0.73,25.0
1286.79,9.75,0.73,25.0
1287.87,9.76,0.70,25.0
1288.95,9.75,0.73,25.0
1290.04,9.74,0.73,25.0
1291.12,9.75,0.73,25.0
1292.20,9.74,0.73,25.0
1293.28,9.76,0.75,25.0
1294.36,9.75,0.72,25.0
1295.45,9.77,0.74,25.0
1296.53,9.74,0.74,25.0
1297.61,9.76,0.74,25.0
1298.69,9.74,0.74,25.0
1299.78,9.75,0.75,25.0
1300.86,9.73,0.71,25.0
1301.94,9.75,0.74,25.0
1303.02,9.75,0.72,25.0
1304.11,9.77,0.72,25.0
1305.19,9.77,0.72,25.0
1306.27,9.77,0.74,25.0
1307.35,9.77,0.73,25.0
1308.44,9.74,0.74,25.0
1309.52,9.74,0.73,25.0
1310.60,9.75,0.75,25.0
1311.68,9.74,0.71,25.0
1312.76,9.80,0.74,25.0
1313.84,9.75,0.74,25.0
1314.93,9.74,0.71,25.0
1316.01,9.75,0.73,25.0
1317.09,9.76,0.74,25.0
1318.18,9.75,0.71,25.0
1319.26,9.76,0.72,25.0
1320.34,9.75,0.72,25.0
1321.42,9.77,0.75,25.0
1322.50,9.74,0.74,25.0
1323.59,9.74,0.72,25.0
1324.67,9.76,0.71,25.0
1325.75,9.74,0.72,25.0
1326.83,9.77,0.71,25.0
1327.92,9.75,0.69,25.0
1329.00,9.75,0.72,25.0
1330.08,9.75,0.71,25.0
1331.16,9.74,0.71,25.0
1332.25,9.75,0.74,25.0
1333.32,9.78,0.73,25.0
1334.41,9.75,0.71,25.0
1335.49,9.74,0.72,25.0
1336.57,9.73,0.72,25.0
1337.66,9.75,0.72,25.0
1338.74,9.79,0.72,25.0
1339.82,9.75,0.72,25.0
1340.90,9.76,0.71,25.0
1341.98,9.76,0.72,25.0
1343.07,9.73,0.71,25.0
1344.15,9.76,0.75,25.0
1345.23,9.75,0.74,25.0
1346.31,9.75,0.73,25.0
1347.40,9.76,0.74,25.0
1348.48,9.72,0.74,25.0
1349.56,9.76,0.75,25.0
1350.64,9.75,0.73,25.0
1351.73,9.75,0.74,25.0
1352.81,9.75,0.72,25.0
1353.89,9.74,0.72,25.0
1354.97,9.73,0.74,25.0
1356.05,9.78,0.73,25.0
1357.13,9.74,0.73,25.0
1358.22,9.75,0.73,25.0
1359.30,9.76,0.73,25.0
1360.38,9.74,0.71,25.0
1361.46,9.76,0.73,25.0
1362.55,9.75,0.73,25.0
1363.63,9.74,0.72,25.0
1364.71,9.76,0.75,25.0
1365.79,9.72,0.73,25.0
1366.88,9.75,0.72,25.0
1367.96,9.72,0.74,25.0
1369.04,9.73,0.73,25.0
1370.12,9.77,0.72,25.0
1371.21,9.74,0.72,25.0
1372.29,9.73,0.75,25.0
1373.37,9.76,0.75,25.0
1374.45,9.76,0.75,25.0
1375.54,9.74,0.73,25.0
1376.62,9.75,0.73,25.0
1377.70,9.74,0.75,25.0
1378.78,9.72,0.73,25.0
1379.86,9.76,0.75,25.0
1380.94,9.72,0.72,25.0
1382.03,9.73,0.73,25.0
1383.11,9.72,0.73,25.0
1384.19,9.77,0.75,25.0
1385.27,9.74,0.73,25.0
1386.36,9.75,0.72,25.0
1387.44,9.74,0.73,25.0
1388.52,9.72,0.72,25.0
1389.60,9.73,0.73,25.0
1390.69,9.76,0.72,25.0
1391.77,9.74,0.75,25.0
1392.85,9.75,0.74,25.0
1393.93,9.73,0.73,25.0
1395.02,9.72,0.74,25.0
1396.10,9.75,0.72,25.0
1397.18,9.70,0.72,25.0
1398.26,9.75,0.74,25.0
1399.34,9.69,0.72,25.0
1400.43,9.71,0.72,25.0
1401.51,9.75,0.72,25.0
1402.59,9.73,0.72,25.0
1403.67,9.72,0.73,25.0
1404.75,9.72,0.72,25.0
1405.84,9.70,0.72,25.0
1406.92,9.72,0.71,25.0
1408.00,9.73,0.71,25.0
1409.08,9.72,0.73,25.0
1410.17,9.74,0.73,25.0
1411.25,9.72,0.72,25.0
1412.33,9.74,0.73,25.0
1413.41,9.70,0.72,25.0
1414.50,9.72,0.74,25.0
1415.58,9.71,0.73,25.0
1416.66,9.71,0.71,25.0
1417.74,9.71,0.73,25.0
1418.82,9.73,0.72,25.0
1419.91,9.73,0.72,25.0
1420.99,9.73,0.73,25.0
1422.07,9.71,0.73,25.0
1423.16,9.74,0.70,25.0
1424.24,9.71,0.72,25.0
1425.32,9.73,0.73,25.0
1426.40,9.73,0.75,25.0
1427.48,9.73,0.74,25.0
1428.56,9.71,0.72,25.0
1429.65,9.71,0.73,25.0
1430.73,9.67,0.70,25.0
1431.81,9.72,0.70,25.0
1432.89,9.70,0.70,25.0
1433.98,9.71,0.73,25.0
1435.06,9.71,0.72,25.0
1436.14,9.72,0.70,25.0
1437.22,9.71,0.73,25.0
1438.31,9.73,0.73,25.0
1439.39,9.72,0.70,25.0
1440.47,9.71,0.74,25.0
1441.55,9.72,0.71,25.0
1442.64,9.73,0.73,25.0
1443.72,9.72,0.72,25.0
1444.80,9.75,0.73,25.0
1445.88,9.74,0.72,25.0
1446.96,9.75,0.72,25.0
1448.05,9.73,0.73,25.0
1449.13,9.71,0.75,25.0
1450.21,9.73,0.74,25.0
1451.29,9.73,0.73,25.0
1452.38,9.74,0.73,25.0
1453.46,9.72,0.74,25.0
1454.54,9.67,0.74,25.0
1455.62,9.68,0.74,25.0
1456.70,9.72,0.71,25.0
1457.79,9.71,0.71,25.0
1458.87,9.70,0.73,25.0
1459.95,9.72,0.71,25.0
1461.03,9.71,0.69,25.0
1462.12,9.74,0.72,25.0
1463.20,9.72,0.72,25.0
1464.28,9.72,0.72,25.0
1465.36,9.71,0.73,25.0
1466.45,9.72,0.74,25.0
1467.53,9.70,0.73,25.0
1468.61,9.71,0.72,25.0
1469.69,9.73,0.75,25.0
1470.78,9.66,0.74,25.0
1471.85,9.70,0.70,25.0
1472.94,9.71,0.73,25.0
1474.02,9.71,0.73,25.0
1475.10,9.73,0.73,25.0
1476.19,9.71,0.74,25.0
1477.27,9.72,0.76,25.0
1478.35,9.71,0.72,25.0
1479.43,9.69,0.76,25.0
1480.51,9.68,0.71,25.0
1481.60,9.72,0.73,25.0
1482.68,9.70,0.73,25.0
1483.76,9.74,0.73,25.0
1484.84,9.66,0.76,25.0
1485.93,9.70,0.76,25.0
1487.01,9.72,0.74,25.0
1488.09,9.68,0.74,25.0
1489.17,9.70,0.74,25.0
1490.26,9.69,0.76,25.0
1491.34,9.71,0.72,25.0
1492.42,9.70,0.73,25.0
1493.50,9.70,0.74,25.0
1494.58,9.70,0.73,25.0
1495.67,9.71,0.73,25.0
1496.75,9.69,0.75,25.0
1497.83,9.72,0.74,25.0
1498.91,9.72,0.72,25.0
1499.99,9.72,0.73,25.0
1501.08,9.72,0.74,25.0
1502.16,9.70,0.74,25.0
1503.24,9.72,0.73,25.0
1504.32,9.73,0.75,25.0
1505.41,9.72,0.76,25.0
1506.49,9.71,0.76,25.0
1507.57,9.72,0.73,25.0
1508.65,9.69,0.76,25.0
1509.73,9.70,0.75,25.0
1510.81,9.72,0.74,25.0
1511.90,9.69,0.73,25.0
1512.98,9.69,0.74,25.0
1514.06,9.71,0.73,25.0
1515.14,9.70,0.74,25.0
1516.23,9.71,0.72,25.0
1517.31,9.69,0.74,25.0
1518.39,9.70,0.75,25.0
1519.47,9.72,0.75,25.0
1520.56,9.72,0.74,25.0
1521.64,9.72,0.72,25.0
1522.72,9.73,0.72,25.0
1523.80,9.71,0.73,25.0
1524.89,9.72,0.72,25.0
1525.97,9.70,0.74,25.0
1527.05,9.69,0.73,25.0
1528.13,9.71,0.73,25.0
1529.21,9.74,0.73,25.0
1530.30,9.70,0.76,25.0
1531.38,9.68,0.73,25.0
1532.46,9.72,0.71,25.0
1533.54,9.70,0.71,25.0
1534.63,9.70,0.73,25.0
1535.71,9.69,0.73,25.0
1536.79,9.72,0.74,25.0
1537.87,9.66,0.72,25.0
1538.95,9.71,0.73,25.0
1540.04,9.64,0.73,25.0
1541.12,9.68,0.73,25.0
1542.20,9.64,0.72,25.0
1543.28,9.68,0.73,25.0
1544.37,9.69,0.74,25.0
1545.45,9.74,0.69,25.0
1546.53,9.69,0.73,25.0
1547.61,9.65,0.73,25.0
1548.70,9.71,0.73,25.0
1549.78,9.71,0.74,25.0
1550.86,9.68,0.72,25.0
1551.94,9.70,0.73,25.0
1553.03,9.68,0.74,25.0
1554.10,9.72,0.72,25.0
1555.19,9.70,0.74,25.0
1556.27,9.71,0.74,25.0
1557.35,9.71,0.73,25.0
1558.44,9.70,0.76,25.0
1559.52,9.71,0.72,25.0
1560.60,9.68,0.74,25.0
1561.68,9.70,0.72,25.0
1562.76,9.67,0.73,25.0
1563.85,9.70,0.75,25.0
1564.93,9.67,0.73,25.0
1566.01,9.70,0.72,25.0
1567.09,9.68,0.74,25.0
1568.18,9.70,0.75,25.0
1569.26,9.68,0.73,25.0
1570.34,9.71,0.71,25.0
1571.42,9.70,0.73,25.0
1572.51,9.73,0.74,25.0
1573.59,9.69,0.74,25.0
1574.67,9.72,0.74,25.0
1575.75,9.70,0.72,25.0
1576.83,9.69,0.73,25.0
1577.92,9.69,0.74,25.0
1579.00,9.70,0.73,25.0
1580.08,9.63,0.71,25.0
1581.16,9.69,0.74,25.0
1582.24,9.65,0.70,25.0
1583.33,9.69,0.70,25.0
1584.41,9.70,0.70,25.0
1585.49,9.68,0.71,25.0
1586.57,9.68,0.74,25.0
1587.66,9.66,0.74,25.0
1588.74,9.66,0.71,25.0
1589.82,9.66,0.72,25.0
1590.90,9.69,0.73,25.0
1591.99,9.66,0.72,25.0
1593.07,9.68,0.72,25.0
1594.15,9.67,0.71,25.0
1595.23,9.68,0.74,25.0
1596.31,9.70,0.73,25.0
1597.40,9.67,0.73,25.0
1598.48,9.66,0.73,25.0
1599.56,9.69,0.70,25.0
1600.64,9.66,0.71,25.0
1601.72,9.68,0.72,25.0
1602.81,9.67,0.71,25.0
1603.89,9.67,0.74,25.0
1604.97,9.68,0.74,25.0
1606.05,9.67,0.73,25.0
1607.14,9.66,0.72,25.0
1608.22,9.67,0.73,25.0
1609.30,9.67,0.70,25.0
1610.38,9.67,0.72,25.0
1611.47,9.66,0.71,25.0
1612.55,9.65,0.73,25.0
1613.63,9.68,0.75,25.0
1614.71,9.66,0.75,25.0
1615.80,9.66,0.72,25.0
1616.88,9.70,0.73,25.0
1617.96,9.68,0.72,25.0
1619.04,9.66,0.72,25.0
1620.12,9.68,0.72,25.0
1621.20,9.66,0.71,25.0
1622.29,9.66,0.72,25.0
1623.37,9.64,0.75,25.0
1624.45,9.66,0.74,25.0
1625.53,9.68,0.73,25.0
1626.62,9.64,0.70,25.0
1627.70,9.67,0.73,25.0
1628.78,9.66,0.71,25.0
1629.86,9.64,0.72,25.0
1630.95,9.66,0.72,25.0
